question,answer
Mikor kell felvenni a Neptunban a Szakmai gyakorlat tárgyat?,"Amennyiben a gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni.Ha a szakmai gyakorlatot az ajánlottól eltérő módon félév közben végzed, akkor ugyanabban a félévben. A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, ezért fontos, hogy időben meglegyen belőle az aláírásod."
Melyik tárgyat kell felvennem a Neptunban és miért olyan rettenetesen fontos ez?,"A mi tanszékünkhöz az alábbi tárgyak tartoznak, és ha nem ezek közül veszed fel valamelyiket, akkor nem tudjuk beírni neked az aláírást: BSc-n 2014 szeptembere előtt kezdett hallgatóknak:VIAUASZ3 - BSc villamosmérnöki szak (Beágyazott és irányító rendszerek szakirány) VIAUAS14 - BSc mérnök informatikus szak (Informatikai technológiák szakirány)"
"A szorgalmi időszak alatt lehet-e teljesíteni a szakmai gyakorlatot, vagy csak a nyári szünetben?","Igen, de csak heti 20 órát lehet elszámolni a szorgalmi időszakban. (Kivéve a regisztrációs és pótlási hetet. Akkor heti 40 óra is megengedett.)"
"Korábban BSc infón nem volt szakmai gyakorlat, most viszont már kötelező?","Igen, mérnök-informatika szakon tanulmányaikat 2010. szeptembere után kezdő hallgatók számára kötelező a szakmai gyakorlat."
Hol lehet megtenni a fogadó cégek listáját?,A tanszéki listát a felső menüben található Vállalatok oldalon tudod megnézni. Ha nem találod rajta a kedvenc cégedet bátran szólj nekünk róla. A kari lista a Kari Honlap Szakmai Gyakorlat oldalán érhető el.
"Olyan cégnél szeretném teljesíteni a szakmai gyakorlatot, ami még nincs a listán, mit tegyek?","Töltsd ki ezt az űrlapot, mi szerződünk velük, majd felvesszük a céget a listára."
"Már dolgozom egy cégnél, de diákszövetkezeten, az IAESTE-n vagy más közvetítőn keresztül. El lehet számolni szakmai gyakorlatnak?","Diákszövetkezet esetében igen, de csak abban az esetben, ha a cég is (ahol ténylegesen dolgozol) és a diákszövetkezet is, keretmegállapodást köt (vagy kötött) a karral. Másfajta közvetítők esetben nem. Az érvényes keretmegállapodással rendelkező cégek listáját itt találod: Szerződőtt vállalatok Az érvényes keretmegállapodással rendelkező diákszövetkezeteket pedig itt:  Szerződőtt iskolaszövetkezetek"
"Iskolaszövetkezeten keresztül dolgozom, melyik céget kell feltűntetnem az űrlapokon?","Annak a cégnek az adatait kell szerepeltetni az űrlapokon, amelyiknél ténylegesen a szakmai gyakorlatot fogod végezni. Ha iskolaszövetkezeten, diákszövetkezeten vagy más közvetítőn keresztül dolgozol, akkor is annak a cégnek kell szerepelnie a dokumentumokon, akinél a tényleges munkát végzed."
"Már évek óta dolgozom egy cégnél, el lehet-e azt számolni szakmai gyakorlatként?",Visszamenőleg nem.
"Tanszéki projekten dolgozom, el lehet-e azt számolni szakmai gyakorlatként?",Nem.
"Találtam szakmai gyakorlóhelyet, fel is vettek, és a cég is rajta van a szerződöttek listáján. Hogyan tudok témát kiíratni?",Töltsd ki ezt az űrlapot A leírás szövegének meg kell egyeznie a feldatlap szövegével.
Hol lehet megtekinteni a választható témák listáját?,A felső menüben található Témák oldalon.
"Tanszéki projekten dolgozom, de nem látom a témát a listában. Mit tegyek?","Szólj a tanszéki projektvezetőnek, aki a szakmai gyakorlat felelőssel felveszi a listára."
"A téma jelentkezésnél meg kell adnom a korábbi önlab konzulensemet, de még nem vettem fel önlabot. Mit tegyek?",Válaszd ki a szaknak megfelelő tanszéki szakmai gyakorlat felelőst (megtalálod őket a kezdőlapon).
"A téma jelentkezésnél csak a tanszéki oktatók közül lehet tanszéki konzulenst kiválasztani, de én másik tanszéken csináltam az önlabot. Mit tegyek?",Válaszd ki a szaknak megfelelő tanszéki szakmai gyakorlat felelőst (megtalálod őket a kezdőlapon).
Kapok-e pénzt a munkámért a szakmai gyakorlat ideje alatt?,"BSc-n, ha 2012. szeptemberében vagy az után, illetve MSc Mérnök Informatika szakon, ha 2014. szeptemberében vagy az után kezdted meg a tanulmányaidat nálunk kötelező, de más esetben is szoktak fizetni."
"Lehet-e otthon, távmunkában teljesíteni a szakmai gyakorlatot?","A jelen vírushelyzetre való tekintettel, igen, lehetséges."
Milyen papírokat és meddig kell kitöltenem?,"A Teendők oldalon összegyűjtöttük a teljes folyamat lépéseit, ott erre a kérdésre is választ találsz."
Hol kell leadni a dokumentumokat?,"Sehol, a dokumentumokat csak elektronikusan gyűjtjük. Ezért az aláírást is tartalmazó dokumentumokat szkennelve kérjük feltölteni."
"A cég, ahol dolgozom, titoktartási szerződést íratott alá velem. Mit írjak így a beszámolóba?","Azt, hogy milyen szakmai kompetenciákra tettél szert. Titoktartási szerződést szakmai gyakorlat esetében az Egyetem nem köt!"
Milyen formai követelmények vonatkoznak a munkanaplóra?,"A legegyszerűbb, ha letöltöd a Munkanapló sablont, és rögtönmeglátod, mire gondoltunk. Ne felejtsd el, hogy aláíratva kell feltöltened."
Mik a beszámoló formai követelményei?,"A szabályzat nem határozza meg a beszámoló formai követelményeit.  A felsőoktatási törvény  ugyanakkor előírja, hogy legalább 15 oldal terjedelműnek kell lennie. A legfontosabb, hogy a beszámoló egy korrekt szakmai dokumentáció legyen."
Mi a feltöltési határidő?,"A feladatlapot legkésőbb a gyakorlat megkezdését megelőző hét első munkanapjáig kell feltölteni. A beszámolót, az igazolólapot és a munkanaplót nyári munka esetén az őszi félév regisztrációs hetének végéig, szorgalmi időszakban végzett gyakorlat esetén a szorgalmi időszak végéig kell feltölteni."
