Kérdés,Válasz
Milyen dokumentumokat kellett volna előzetesen elfogadtatni a szakmai gyakorlat elkezdése előtt?,A szakmai gyakorlat elkezdése előtt a jellapot és feladatlapot kellett volna elfogadtatni.
Milyen fontos lépésről maradtam le a szakmai gyakorlatomat illetően?,A szakmai gyakorlatra való jelentkezés után el kellett volna fogadtatni a jellapot és feladatlapot.
Milyen határidővel kell időben beadni a szükséges dokumentumokat a szakmai gyakorlatra?,A szakmai gyakorlatra vonatkozó dokumentumokat időben és megfelelő tartalommal kell beadni.
Milyen végzettséghez szükséges a szakmai gyakorlat teljesítése?,A szakmai gyakorlat teljesítése a BSc diploma megszerzésének feltétele.
Mikor lehet felvenni a Szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a szakmai gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot az ajánlottól eltérő módon félév közben végzed, akkor ugyanabban a félévben."
Milyen feltételhez kötött a szakmai gyakorlat teljesítése?,A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele.
Hogyan lehet kikapcsolni a szerkesztési korlátozást a munkanaplóban?,"A szerkesztési korlátozásokat csak az adott fájl létrehozója vagy a hozzáférést kapott személy tudja kikapcsolni. Amennyiben nincs jelszó az adott fájlhoz, érdemes megkeresni a fájl létrehozóját és kérni tőle a korlátozások feloldását."
"Megoldás-e, ha a munkanapló sablonban nem tudok új sort beszúrni, pedig több, mint 30 napot töltöttem a szakmai gyakorlattal?","Amennyiben a munkanapló sablonban nincs lehetőség új sorok beszúrására, érdemes egy másik dokumentumot létrehozni vagy egy újabb munkanaplót készíteni a fennmaradó napokra. Fontos, hogy az összes tevékenység dokumentálva legyen a szakmai gyakorlat időtartama alatt."
Hol kell felvenni a Szakmai gyakorlat tárgyat a Neptun rendszerben?,"A Szakmai gyakorlat tárgyat a Neptun rendszerben a szokásos módon kell felvenni. Amennyiben a gyakorlatot az ajánlott időszakban végzed, akkor a tárgyat a következő félévben kell beíratnod. Ha a szakmai gyakorlatot az ajánlottól eltérő időpontban végzed, akkor a gyakorlatot teljesítő félévben kell felvenned a tárgyat. A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, ezért fontos, hogy időben megleg"
Hogyan regisztrálhatok új vállalatot a BME VIK szakmai gyakorlatához?,A vállalat regisztrációjához töltse ki a 'Kérelem új vállalat regisztrációjára' formot. A form kitöltése során felmerülő kérdésekkel kapcsolatban keresse meg a szakmai gyakorlat koordinátorát.
"Milyen adatokat kell megadnom, ha iskolaszövetkezeten keresztül dolgozom?","Amennyiben iskolaszövetkezeten keresztül dolgozik, a sárgán kiemelt mezőben az iskolaszövetkezet adatait kell megadnia. A kapcsolattartó személyt is az iskolaszövetkezettől kell megadnia."
"Milyen adatokat kell megadnom, ha nem iskolaszövetkezeten keresztül dolgozok?","Amennyiben nem iskolaszövetkezeten keresztül dolgozik, a sárgán kiemelt mezőben a vállalat adatait kell megadnia. A kapcsolattartó személyt pedig a vállalattól kell megadnia."
Mikor kell adminisztrálni a tanszéki portálra a szakmai gyakorlatot?,"A szakmai gyakorlatot a tanszéki portálon a megállapodás létrejötte után kell adminisztrálni. Ha még nem történt meg, kérjük, hogy mielőbb pótolja ezt a hiányosságot."
"Milyen teendőim vannak a szerződéskötéshez, ha a visszajelzés alapján még nem történt meg?","Amennyiben a visszajelzés alapján a szerződéskötés még nem történt meg, kérjük, hogy jelentkezzen be a Q épület B 207-es irodájába, ahol további teendőket közölnek Önnel."
Milyen információkat kell feltüntetni a szakmai gyakorlatos megállapodásban?,"A szakmai gyakorlatos megállapodásban feltüntetni kell a gyakorlat helyszínét, időtartamát, valamint a gyakorlatvezető nevét és elérhetőségét. Kérjük, hogy ezeket az adatokat pontosan és teljesen tüntesse fel a megállapodásban."
